system,tier,target,term_name,term_index,true_coef_median,true_coef_ci_low,true_coef_ci_high,recovered_coef_median,recovered_coef_ci_low,recovered_coef_ci_high,abs_error_clean,rel_error_clean,zero_truth,error_display,error_type,selected_clean,active_true_clean,term_role,false_positive_count,selected_rate,active_true_rate
bad_coverage,6,a11,1,0,0.9999999995075706,0.9999999994535248,0.9999999995762354,0.0144846780548164,0.0025047782700582,0.0357146347034364,0.9855153214527542,0.985515321938051,False,0.986,rel,False,True,active_missed,0,0.4,1.0
bad_coverage,6,a11,x,1,6.408420474236406e-11,5.729236336724004e-11,8.37691839155736e-11,0.0032080769718134,-0.0305880056049319,0.0653749342380564,0.003208076907729195,,True,3.2e-03,abs,True,False,selected_zero_truth,0,0.5,0.0
bad_coverage,6,a11,y,2,-3.002537452038555e-11,-5.040201909234921e-11,-8.071089421931527e-12,0.0936273446629772,0.0112684233177529,0.1439182420972733,0.09362734469300257,,True,0.094,abs,True,False,selected_zero_truth,1,0.8,0.0
bad_coverage,6,a11,x^2,3,2.8366747852691955e-10,2.7297714245962967e-10,3.236143498369817e-10,0.1450129007145637,0.1283854185922153,0.1775458828213603,0.1450129004308962,,True,0.145,abs,True,False,selected_zero_truth,1,0.9,0.0
bad_coverage,6,a11,xy,4,7.599408436765242e-12,1.5022181708677088e-12,1.831122770117265e-11,-0.0183153051997874,-0.0374692407257725,-0.0135605671414733,0.018315305207386806,,True,0.018,abs,False,False,inactive_unselected,0,0.2,0.0
bad_coverage,6,a11,y^2,5,1.242463036275349e-10,1.2180768907631824e-10,1.4226490960214359e-10,0.0943527133264517,0.0664957137249733,0.1081063998294694,0.0943527132022054,,True,0.094,abs,True,False,selected_zero_truth,1,1.0,0.0
bad_coverage,6,a12,1,0,0.0,0.0,0.0,-0.0039462222737364,-0.0132050024180496,0.0,0.0039462222737364,,True,3.9e-03,abs,True,False,selected_zero_truth,0,0.6,0.0
bad_coverage,6,a12,x,1,0.0,0.0,0.0,-0.009710045629976,-0.0167023859897459,0.0,0.009710045629976,,True,9.7e-03,abs,True,False,selected_zero_truth,0,0.6,0.0
bad_coverage,6,a12,y,2,0.0,0.0,0.0,0.0,-0.0061599348504815,0.0038597907386959,0.0,,True,0,abs,True,False,selected_zero_truth,0,0.5,0.0
bad_coverage,6,a12,x^2,3,0.0,0.0,0.0,-0.00197521595932,-0.0224368214311702,0.0009595948676844,0.00197521595932,,True,2.0e-03,abs,True,False,selected_zero_truth,0,0.5,0.0
bad_coverage,6,a12,xy,4,0.0,0.0,0.0,-0.0006512307839967,-0.0138032865460332,0.0,0.0006512307839967,,True,6.5e-04,abs,False,False,inactive_unselected,0,0.4,0.0
bad_coverage,6,a12,y^2,5,0.0,0.0,0.0,0.0071259415981374,0.0,0.0133529168239541,0.0071259415981374,,True,7.1e-03,abs,True,False,selected_zero_truth,0,0.6,0.0
bad_coverage,6,a22,1,0,0.9999999995075706,0.9999999994535248,0.9999999995762354,0.007863099469189,-0.0192904001134682,0.0241749595887943,0.9921369000383816,0.992136900526939,False,0.992,rel,False,True,active_missed,0,0.3,1.0
bad_coverage,6,a22,x,1,6.408420474236406e-11,5.729236336724004e-11,8.37691839155736e-11,0.0030717136305105,-0.0912065841992971,0.0327851766724557,0.003071713566426295,,True,3.1e-03,abs,True,False,selected_zero_truth,0,0.6,0.0
bad_coverage,6,a22,y,2,-3.002537452038555e-11,-5.040201909234921e-11,-8.071089421931527e-12,0.0559672256812357,0.0129341438268954,0.1166527420969044,0.05596722571126107,,True,0.056,abs,True,False,selected_zero_truth,1,0.8,0.0
bad_coverage,6,a22,x^2,3,2.8366747852691955e-10,2.7297714245962967e-10,3.236143498369817e-10,0.1524765515682405,0.0505779014261965,0.1908417233222082,0.15247655128457302,,True,0.152,abs,True,False,selected_zero_truth,1,0.8,0.0
bad_coverage,6,a22,xy,4,7.599408436765242e-12,1.5022181708677088e-12,1.831122770117265e-11,-0.0158832507961963,-0.034656595288042,-0.0066425567011482,0.01588325080379571,,True,0.016,abs,False,False,inactive_unselected,0,0.2,0.0
bad_coverage,6,a22,y^2,5,1.242463036275349e-10,1.2180768907631824e-10,1.4226490960214359e-10,0.0860222607169597,0.0668927064201537,0.1064450272424929,0.0860222605927134,,True,0.086,abs,True,False,selected_zero_truth,1,1.0,0.0
bad_coverage,6,b1,1,0,-1.437856474098942e-11,-4.779002886019014e-11,3.810795027752581e-11,-0.049434664202693,-0.0879477260572932,0.0061898978195235,0.04943466418831443,,True,0.049,abs,False,False,inactive_unselected,0,0.4,0.0
bad_coverage,6,b1,x,1,-0.9999999996269398,-0.9999999996927876,-0.9999999995082588,-0.0762711908942564,-0.2020844178695098,-6.648720131498402e-12,0.9237288087326834,0.9237288090772898,False,0.924,rel,True,True,active_selected,0,0.5,1.0
bad_coverage,6,b1,y,2,-1.9999999997133355,-1.9999999997580644,-1.9999999995491609,-0.3337086850123643,-0.4441292532592968,-0.279432154590589,1.6662913147009712,0.8331456574699022,False,0.833,rel,True,True,active_selected,0,0.9,1.0
bad_coverage,6,b1,x^2,3,2.2909220343441664e-10,1.7858552657711372e-10,3.5635756771037516e-10,2.6568610142510945e-11,-5.407130575125776e-12,0.1666448675071081,2.025235932919057e-10,,True,2.0e-10,abs,False,False,inactive_unselected,0,0.3,0.0
bad_coverage,6,b1,xy,4,4.423549077319869e-11,1.7248784592329037e-12,8.985263647765927e-11,-0.1667560460357028,-0.2919268613493319,1.0997348067166599e-11,0.1667560460799383,,True,0.167,abs,True,False,selected_zero_truth,0,0.6,0.0
bad_coverage,6,b1,y^2,5,-7.644567088633845e-11,-2.4333054769126306e-10,-1.9621438652164148e-11,-0.2567601484274489,-0.4262472488632167,-0.1609057101329029,0.2567601483510032,,True,0.257,abs,True,False,selected_zero_truth,1,0.9,0.0
bad_coverage,6,b2,1,0,1.6643029488709086e-10,1.1285037216175482e-10,2.00338258360527e-10,0.002457911857213,-0.1046782101506063,0.0180764509770029,0.002457911690782705,,True,2.5e-03,abs,False,False,inactive_unselected,0,0.3,0.0
bad_coverage,6,b2,x,1,1.999999999119605,1.9999999989891284,1.999999999354853,0.1225214284916855,0.0418618415508046,0.2580475614094448,1.8774785706279193,0.9387392857271905,False,0.939,rel,True,True,active_selected,0,0.8,1.0
bad_coverage,6,b2,y,2,-0.999999999848032,-0.9999999998649248,-0.9999999997384742,-0.1228461628863248,-0.3347943881453544,-0.0021778704801673,0.8771538369617072,0.8771538370950065,False,0.877,rel,True,True,active_selected,0,0.6,1.0
bad_coverage,6,b2,x^2,3,-4.5818946900175866e-10,-7.12719753666014e-10,-3.571735383404846e-10,-0.2364798489397954,-0.3331905408429619,-2.6570123141620072e-11,0.23647984848160594,,True,0.236,abs,True,False,selected_zero_truth,0,0.7,0.0
bad_coverage,6,b2,xy,4,1.323956964248948e-10,7.435299554845953e-11,2.1394960538951446e-10,0.1195212603494275,6.193707286241809e-14,0.3017913474047327,0.11952126021703181,,True,0.120,abs,True,False,selected_zero_truth,0,0.5,0.0
bad_coverage,6,b2,y^2,5,-3.8220938160865126e-11,-1.2166156581861708e-10,-9.811827664837639e-12,-0.103459646149006,-0.1598422520274428,-1.827565072103325e-11,0.10345964611078506,,True,0.103,abs,True,False,selected_zero_truth,0,0.6,0.0
brusselator,7-limit-cycle,a11,1,0,0.0143997979236404,0.0143997611694913,0.0143998149110512,0.0142925830349498,0.0134865394636048,0.0145609266751191,0.00010721488869059985,0.007445582865755588,False,7.4e-03,rel,True,True,active_selected,0,1.0,1.0
brusselator,7-limit-cycle,a11,x,1,1.212445129809642e-07,1.0902652796835397e-07,1.372856510195147e-07,1.409965058757415e-07,1.0515434631203493e-07,0.0024570295764169,1.9751992894777284e-08,,True,2.0e-08,abs,False,False,inactive_unselected,0,0.3,0.0
