step,variant_id,ladder_label,raw_median_inscope_score,monotone_paper_score,median_objective_drift_rel_l2,median_diffusion_rel_l2,median_psd_valid_pct,n
0,LADDER_0_B0,B0 naive 1D port,0.6259169199545178,0.6259169199545178,1.6174389841211494,0.2099948649173458,0.9940828402366864,130
1,LADDER_1_Z_ANISO,+ standardized anisotropic kernels,0.6872176600705764,0.6872176600705764,1.3127662258508759,0.1992716391372534,0.9940828402366864,130
2,LADDER_2_LOCAL_POLY,+ local-polynomial projection,0.6546293239134269,0.6872176600705764,1.5384522399841078,0.18376063192428194,1.0,130
3,LADDER_3_ADAPTIVE_LASSO,+ adaptive-LASSO,0.7164702633312163,0.7164702633312163,1.32598371597828,0.11905715345389571,1.0,130
4,LADDER_4_CHOLESKY_PSD,+ Cholesky PSD tensor,0.7199384414761213,0.7199384414761213,1.3259837159782797,0.10946979212979911,1.0,130
5,LADDER_5_GLS,+ GLS drift whitening,0.7270849500290799,0.7270849500290799,1.2355826524313325,0.11564592719093522,1.0,130
6,LADDER_6_WG_SINDY,WG-SINDy frozen,0.9511166447340582,0.9511166447340582,0.19466022130260874,0.04496001039329499,1.0,130
