system,tier,seed,target,term_name,term_index,coef_true,coef_hat,rel_error,target_in_scope,term_in_paper_scope,active_true,raw_selected,selected,false_positive
near_singular,4,9601,b1,1,0,1.8185757096931115e-11,0.037880738487717246,2082989356.320169,True,True,False,True,False,False
near_singular,4,9601,b1,x,1,-0.9999999998762028,-1.1184143508833684,0.11841435102182495,True,True,True,True,True,False
near_singular,4,9601,b1,y,2,4.9164399378175376e-12,0.03967396102447981,8069652334.077954,True,True,False,True,False,False
near_singular,4,9601,b1,x^2,3,-7.319474592879023e-11,-7.727004414508356e-11,0.05567746925794527,True,True,False,False,False,False
near_singular,4,9601,b1,xy,4,-3.7296510306575254e-11,-1.1713585638300468,31406653173.829067,True,True,False,True,True,True
near_singular,4,9601,b1,y^2,5,-1.2923548789074325e-15,1.049853791713589e-11,10.499830272014798,True,True,False,False,False,False
near_singular,4,9601,b2,1,0,2.31664927741071e-11,0.03351638344107472,1446761222.9749804,True,True,False,True,False,False
near_singular,4,9601,b2,x,1,4.916245946945598e-12,0.03707400550639639,7541120989.789731,True,True,False,True,False,False
near_singular,4,9601,b2,y,2,-0.9999999998369186,-1.0158866181440755,0.0158866183097478,True,True,True,True,True,False
near_singular,4,9601,b2,x^2,3,-2.0751224824204504e-17,6.776878522671402e-12,6.776899273896226,True,True,False,False,False,False
near_singular,4,9601,b2,xy,4,-3.660703225620853e-11,-1.1237186794147933,30696798131.938282,True,True,False,True,True,True
near_singular,4,9601,b2,y^2,5,-1.197693061683795e-10,-1.1658796378538124e-10,0.026562251087317214,True,True,False,False,False,False
near_singular,4,9601,a11,1,0,0.4999999999503887,0.048754973803371494,0.9024900523835818,True,True,True,True,True,False
near_singular,4,9601,a11,x,1,-1.7733126447446521e-12,-0.010508591140492655,5925966393.94771,True,True,False,True,False,False
near_singular,4,9601,a11,y,2,3.931125178620203e-13,-0.011502419037293652,11502419037.686766,True,True,False,True,False,False
near_singular,4,9601,a11,x^2,3,0.10000000003285131,0.04942149598050645,0.5057850403572915,True,True,True,True,True,False
near_singular,4,9601,a11,xy,4,-2.458103099340263e-12,0.20363968547557526,82844240964.78653,True,True,False,True,True,True
near_singular,4,9601,a11,y^2,5,0.10000000003126444,0.062176218867551425,0.3782378115188762,True,True,True,True,True,False
near_singular,4,9601,a22,1,0,0.3999999999657693,0.0413469607305533,0.8966325981647708,True,True,True,True,True,False
near_singular,4,9601,a22,x,1,4.495078066628198e-14,-0.009102411067602246,9102411067.647196,True,True,False,True,False,False
near_singular,4,9601,a22,y,2,2.7097822849876545e-12,-0.009902250063771541,3654260388.866051,True,True,False,True,False,False
near_singular,4,9601,a22,x^2,3,0.10000000002072901,0.043032229728823916,0.5696777028009624,True,True,True,True,True,False
near_singular,4,9601,a22,xy,4,-1.966388497005644e-12,0.17353308748700721,88249645354.02055,True,True,False,True,True,True
near_singular,4,9601,a22,y^2,5,0.10000000001609342,0.054136346236208104,0.45863653772504287,True,True,True,True,True,False
near_singular,4,9601,a12,1,0,0.424907176500612,0.04158389779429285,0.9021341598963722,True,True,True,True,True,False
near_singular,4,9601,a12,x,1,-6.426167317955457e-06,-0.008958686104813944,1393.0947475460741,True,True,False,True,False,False
near_singular,4,9601,a12,y,2,-4.882097877488987e-06,-0.009807298749308292,2007.8287853729976,True,True,False,True,False,False
near_singular,4,9601,a12,x^2,3,0.09540464366112429,0.042127346367866275,0.5584350535650874,True,True,True,True,True,False
near_singular,4,9601,a12,xy,4,-8.241678491602331e-06,0.173668877448633,21073.027697463436,True,True,False,True,True,True
