system,tier,seed,run,variant_id,library,R,n_steps,dt,objective_drift_rel_l2,drift_rel_l2,diffusion_rel_l2,b1_rel_l2,b2_rel_l2,a11_rel_l2,a22_rel_l2,a12_rel_l2,a12_cosine,a12_sign_acc,psd_valid_pct,generator_action_error,scope_metric_contract,runtime_sec,run_status,error,traceback_tail
maier_stein,8-bistable,9601,0,WG_SINDY_FROZEN,B,16,1200,0.01,0.21682943616318556,0.21682943616318556,0.07164335190045787,0.11294825403919888,0.2775905536060434,0.08987471660793768,0.04390849618693157,,,,1.0,0.22631369835495624,drift+tensor+psd,10.827332043001661,OK,,
duffing,8-bistable,9601,0,WG_SINDY_FROZEN,B,16,1200,0.01,0.040548410263016775,0.040548410263016775,0.050792013120678894,0.011033111845099433,0.05380761132276909,0.0540818178915636,0.030766261464108765,,,,1.0,0.03360308322410284,drift+tensor+psd,9.478851088002557,OK,,
mueller_brown,8-bistable,9601,0,WG_SINDY_FROZEN,C,16,1000,0.004,2.322465896363732,2.322465896363732,0.18791410780529158,1.1032611245828732,3.125153543421137,0.2655980602239939,0.009005233465557863,,,,1.0,1.7513332377619164,drift+tensor+psd,24.421938337996835,OK,,
sabr,9-financial,9601,0,WG_SINDY_FROZEN,F,16,1600,0.003968253968253968,,,0.2337319255702678,,,0.19085764388541523,0.39004941525254966,0.42860862022451324,0.9371421782042577,1.0,1.0,0.5941442336321074,drift+tensor+psd,38.78222089400515,OK,,
gbm_2d,9-financial,9601,0,WG_SINDY_FROZEN,A,16,1600,0.003968253968253968,2.5302821048958672,2.5302821048958672,0.1336700114055517,2.6752204640605743,2.3408054510490452,0.19956475263714632,0.13390460647403443,0.06372249989385284,0.9985230346309345,1.0,1.0,1.7819318656635001,drift+tensor+psd,8.54829327299376,OK,,
two_factor_vasicek,9-financial,9601,0,WG_SINDY_FROZEN,A,16,1600,0.003968253968253968,0.33701477481860487,0.33701477481860487,1.0,0.2862682856918611,0.389115907347331,1.0,1.0,1.0,,0.0,1.0,0.3797086486464001,drift+tensor+psd,13.327464006986702,OK,,
near_singular,4,9602,1,WG_SINDY_FROZEN,A,16,1200,0.01,12.785767240068802,12.785767240068802,1.2411793633499704,1.0,19.383989253278116,0.9444846855091856,1.8394417388062618,1.0627716563861416,-0.57802788822398,0.27555555555555555,1.0,11.89929629591976,drift+tensor+psd,50.120920879009645,OK,,
underdamped_langevin,6,9602,1,WG_SINDY_FROZEN,B,16,1200,0.01,0.15455891307414235,0.15455891307414235,0.5202643773072112,0.08174956083390275,0.18438578789713547,,0.5201033783720542,,,,1.0,0.2571679415624394,drift+tensor+psd,6.879238527006237,OK,,
near_boundary_heston,6,9602,1,WG_SINDY_FROZEN,D,16,1200,0.01,1.9766324195072582,1.9766324195072582,0.4195568300438718,4.207443815377953,0.6766793556540714,0.42930778079502074,0.1944891629231631,0.37546527576622507,0.9691318613209909,0.9230769230769231,1.0,1.8295204516422576,drift+tensor+psd,7.101405396009795,OK,,
nonpoly_drift,6,9602,1,WG_SINDY_FROZEN,G,16,1200,0.01,0.20368988110819788,0.20368988110819788,0.07800179101895209,0.19512963928152052,0.2133019830834005,0.02318609435658393,0.10784694633051108,,,,1.0,0.2597151360525311,drift+tensor+psd,24.26683714002138,OK,,
bad_coverage,6,9602,1,WG_SINDY_FROZEN,A,16,1200,0.01,0.6710082512860406,0.6710082512860406,0.7742736168516564,0.7284327759396522,0.5756998217405552,0.7803875615901993,0.7681110083968293,,,,1.0,0.6139708234532139,drift+tensor+psd,5.803808658994967,OK,,
too_large_dt,6,9602,1,WG_SINDY_FROZEN,A,16,600,0.05,0.06255154497390158,0.06255154497390158,0.09393121723864792,0.08424833762074431,0.00465737969339514,0.08624251317454938,0.104115594276319,,,,1.0,0.06965486433661779,drift+tensor+psd,6.1352025649975985,OK,,
van_der_pol,7-limit-cycle,9602,1,WG_SINDY_FROZEN,B,16,1200,0.01,0.06704547165601273,0.06704547165601273,0.03790082978612631,0.04726156156576094,0.06966042852280377,0.01103749781688767,0.0053554370145092655,,,,1.0,0.05752003076016343,drift+tensor+psd,9.53343714500079,OK,,
fitzhugh_nagumo,7-limit-cycle,9602,1,WG_SINDY_FROZEN,B,16,1200,0.01,0.2947888209345851,0.2947888209345851,0.11712010897070058,0.08684964201852977,2.0834541002015134,0.15836785573805404,0.01788292359320858,,,,1.0,1.1291663700483068,drift+tensor+psd,10.39505136598018,OK,,
stuart_landau,7-limit-cycle,9602,1,WG_SINDY_FROZEN,B,16,1200,0.01,0.11489550133272972,0.11489550133272972,0.011677764891485278,0.09822042111702382,0.1293599595843469,0.012185716967234288,0.011146689540669495,,,,1.0,0.13581015728397158,drift+tensor+psd,9.868601027992554,OK,,
brusselator,7-limit-cycle,9602,1,WG_SINDY_FROZEN,B,16,1200,0.01,0.013191003030030358,0.013191003030030358,0.017741042505294444,0.012942812456696363,0.013376414150815936,0.005602842497631335,0.024456028587979375,,,,1.0,0.01887917779012424,drift+tensor+psd,8.271853564016055,OK,,
maier_stein,8-bistable,9602,1,WG_SINDY_FROZEN,B,16,1200,0.01,0.23471587333232627,0.23471587333232627,0.08433704956614417,0.17208583915018436,0.2736480739967128,0.011147448747951615,0.11874851681371144,,,,1.0,0.23242157721446555,drift+tensor+psd,10.978532116976567,OK,,
duffing,8-bistable,9602,1,WG_SINDY_FROZEN,B,16,1200,0.01,0.29596667725396814,0.29596667725396814,0.03464363738784692,0.07493581129415938,0.39350813110503535,0.0157580368038635,0.02859951798624598,,,,1.0,0.2547778636314743,drift+tensor+psd,10.315620045992546,OK,,
mueller_brown,8-bistable,9602,1,WG_SINDY_FROZEN,C,16,1000,0.004,0.8792311609668884,0.8792311609668884,0.023178998700170046,0.8911168497458185,0.8666820060513165,0.03264987484104045,0.002918498646455699,,,,1.0,0.9062500076368734,drift+tensor+psd,18.57046420298866,OK,,
sabr,9-financial,9602,1,WG_SINDY_FROZEN,F,16,1600,0.003968253968253968,,,0.09479734377645249,,,0.07103138656843354,0.2482672362161867,0.18143664677492355,0.9921687390403674,1.0,1.0,0.2777293671668948,drift+tensor+psd,29.520108363998588,OK,,
gbm_2d,9-financial,9602,1,WG_SINDY_FROZEN,A,16,1600,0.003968253968253968,1.2364487248432907,1.2364487248432907,0.15732227089552442,1.2780836532243451,1.0,0.024985444879107928,0.10825470396937902,0.40402022089413253,0.9360081829784854,1.0,1.0,0.8933995409187812,drift+tensor+psd,8.637646586983465,OK,,
