system,tier,target,term_name,term_index,true_coef_median,true_coef_ci_low,true_coef_ci_high,recovered_coef_median,recovered_coef_ci_low,recovered_coef_ci_high,rel_error_median,target_in_scope_rate,raw_selected_rate,selected_rate,active_true_rate,selected,raw_false_positive_count,paper_seed_false_positive_count,stable_false_positive,false_positive_count
bad_coverage,6,a11,1,0,0.9999999995075706,0.9999999994535248,0.9999999995762354,0.014484678054816465,0.0025047782700582076,0.03571463470343649,0.9855153219380509,1.0,0.9,0.4,1.0,False,0,0,False,0
bad_coverage,6,a11,x,1,6.408420474236406e-11,5.729236336724004e-11,8.37691839155736e-11,0.0032080769718134793,-0.030588005604931964,0.06537493423805643,50060337.34251079,1.0,0.8,0.5,0.0,True,8,5,False,0
bad_coverage,6,a11,x^2,3,2.836674785269196e-10,2.7297714245962967e-10,3.2361434983698175e-10,0.14501290071456374,0.12838541859221536,0.1775458828213603,511207351.5933014,1.0,0.9,0.9,0.0,True,9,9,True,1
bad_coverage,6,a11,xy,4,7.599408436765242e-12,1.5022181708677088e-12,1.831122770117265e-11,-0.018315305199787454,-0.037469240725772596,-0.013560567141473336,2410096175.220573,1.0,0.9,0.2,0.0,False,9,2,False,0
bad_coverage,6,a11,y,2,-3.002537452038555e-11,-5.040201909234921e-11,-8.071089421931527e-12,0.09362734466297726,0.0112684233177529,0.14391824209727339,3118273999.527796,1.0,1.0,0.8,0.0,True,10,8,True,1
bad_coverage,6,a11,y^2,5,1.242463036275349e-10,1.2180768907631824e-10,1.422649096021436e-10,0.09435271332645173,0.06649571372497332,0.10810639982946949,759400565.2277241,1.0,1.0,1.0,0.0,True,10,10,True,1
bad_coverage,6,a12,1,0,0.0,0.0,0.0,-0.003946222273736457,-0.013205002418049616,0.0,3946222273.7364573,1.0,0.8,0.6,0.0,True,8,6,False,0
bad_coverage,6,a12,x,1,0.0,0.0,0.0,-0.009710045629976098,-0.016702385989745938,0.0,9710045629.976097,1.0,0.7,0.6,0.0,True,7,6,False,0
bad_coverage,6,a12,x^2,3,0.0,0.0,0.0,-0.001975215959320016,-0.022436821431170262,0.0009595948676844748,1975215959.3200161,1.0,0.7,0.5,0.0,True,7,5,False,0
bad_coverage,6,a12,xy,4,0.0,0.0,0.0,-0.000651230783996769,-0.013803286546033203,0.0,651230783.9967691,1.0,0.7,0.4,0.0,False,7,4,False,0
bad_coverage,6,a12,y,2,0.0,0.0,0.0,0.0,-0.006159934850481591,0.0038597907386959942,0.0,1.0,0.7,0.5,0.0,True,7,5,False,0
bad_coverage,6,a12,y^2,5,0.0,0.0,0.0,0.007125941598137424,0.0,0.013352916823954139,7125941598.137424,1.0,0.8,0.6,0.0,True,8,6,False,0
bad_coverage,6,a22,1,0,0.9999999995075706,0.9999999994535248,0.9999999995762354,0.007863099469189064,-0.019290400113468248,0.02417495958879437,0.9921369005269389,1.0,0.9,0.3,1.0,False,0,0,False,0
bad_coverage,6,a22,x,1,6.408420474236406e-11,5.729236336724004e-11,8.37691839155736e-11,0.003071713630510504,-0.0912065841992971,0.03278517667245577,47932459.78124287,1.0,0.9,0.6,0.0,True,9,6,False,0
bad_coverage,6,a22,x^2,3,2.836674785269196e-10,2.7297714245962967e-10,3.2361434983698175e-10,0.15247655156824058,0.05057790142619652,0.1908417233222082,537518618.899781,1.0,1.0,0.8,0.0,True,10,8,True,1
bad_coverage,6,a22,xy,4,7.599408436765242e-12,1.5022181708677088e-12,1.831122770117265e-11,-0.015883250796196367,-0.03465659528804208,-0.006642556701148269,2090064106.4315035,1.0,0.9,0.2,0.0,False,9,2,False,0
bad_coverage,6,a22,y,2,-3.002537452038555e-11,-5.040201909234921e-11,-8.071089421931527e-12,0.055967225681235785,0.012934143826895457,0.11665274209690449,1863997588.881449,1.0,1.0,0.8,0.0,True,10,8,True,1
bad_coverage,6,a22,y^2,5,1.242463036275349e-10,1.2180768907631824e-10,1.422649096021436e-10,0.08602226071695976,0.06689270642015374,0.1064450272424929,692352674.3346077,1.0,1.0,1.0,0.0,True,10,10,True,1
bad_coverage,6,b1,1,0,-1.4378564740989421e-11,-4.779002886019014e-11,3.8107950277525814e-11,-0.049434664202693025,-0.0879477260572932,0.006189897819523589,3438080578.8904314,1.0,0.8,0.4,0.0,False,8,4,False,0
bad_coverage,6,b1,x,1,-0.9999999996269398,-0.9999999996927877,-0.9999999995082589,-0.07627119089425649,-0.2020844178695098,-6.648720131498402e-12,0.9237288090772897,1.0,0.6,0.5,1.0,True,0,0,False,0
bad_coverage,6,b1,x^2,3,2.2909220343441664e-10,1.7858552657711372e-10,3.563575677103752e-10,2.6568610142510942e-11,-5.407130575125776e-12,0.16664486750710814,0.8840265633478144,1.0,0.4,0.3,0.0,False,4,3,False,0
bad_coverage,6,b1,xy,4,4.423549077319869e-11,1.7248784592329035e-12,8.985263647765927e-11,-0.16675604603570282,-0.29192686134933193,1.09973480671666e-11,3769734282.703429,1.0,0.6,0.6,0.0,True,6,6,False,0
bad_coverage,6,b1,y,2,-1.9999999997133353,-1.9999999997580644,-1.9999999995491606,-0.3337086850123643,-0.44412925325929686,-0.279432154590589,0.8331456574699022,1.0,0.9,0.9,1.0,True,0,0,False,0
bad_coverage,6,b1,y^2,5,-7.644567088633845e-11,-2.433305476912631e-10,-1.962143865216415e-11,-0.2567601484274489,-0.42624724886321674,-0.1609057101329029,3358727124.427508,1.0,0.9,0.9,0.0,True,9,9,True,1
bad_coverage,6,b2,1,0,1.6643029488709086e-10,1.1285037216175482e-10,2.00338258360527e-10,0.0024579118572130693,-0.10467821015060631,0.018076450977002938,14768415.164139818,1.0,0.9,0.3,0.0,False,9,3,False,0
bad_coverage,6,b2,x,1,1.9999999991196051,1.9999999989891284,1.999999999354853,0.12252142849168551,0.04186184155080464,0.2580475614094448,0.9387392857271905,1.0,1.0,0.8,1.0,True,0,0,False,0
bad_coverage,6,b2,x^2,3,-4.581894690017587e-10,-7.127197536660141e-10,-3.571735383404846e-10,-0.2364798489397954,-0.33319054084296196,-2.6570123141620072e-11,516118035.1805472,1.0,0.7,0.7,0.0,True,7,7,False,0
bad_coverage,6,b2,xy,4,1.323956964248948e-10,7.435299554845953e-11,2.1394960538951448e-10,0.11952126034942756,6.193707286241809e-14,0.3017913474047327,902757895.0410498,1.0,0.5,0.5,0.0,True,5,5,False,0
