stage,config_id,variant_id,family,description,implemented,infeasible_reason,core_identity_preserving,graft_source,system,tier,dim,seed,run,library,library_space,regressor,center_scheme,M,bandwidth_mult,bandwidth_rule,knn_k,local_poly_order,projection_normalization,projection_scales,prune_min_effective_samples,target_anchor,threshold_mode,threshold,stlsq_threshold,pseudo_blocks,l1_ratio_grid,adaptive_gamma,svd_rtol,ridge_floor,gls_weighting,gls_iterations,target_regression_kw,diffusion_parameterization,diffusion_shrinkage,rank1_project,R,n_steps,dt,subsample_k,T,bias_correct,noise_correct,status,pass_level,drift_pass_level,tensor_pass_level,score,drift_rel_l2,diffusion_rel_l2,b1_rel_l2,b2_rel_l2,a11_rel_l2,a22_rel_l2,a12_rel_l2,a12_cosine,a12_sign_acc,psd_valid_pct,oracle_drift_rel_l2,oracle_diffusion_rel_l2,oracle_a12_rel_l2,oracle_a12_cosine,oracle_ols_passes,oracle_headroom_drift,oracle_headroom_diffusion,oracle_headroom_a12,cond_design,rank_deficient_targets,mean_selected_terms,max_cv_folds,used_pseudo_blocks,mean_alpha,mean_l1_ratio,runtime_sec,error,selection_basis
v6_necessity,WG_SINDY_FROZEN,WG_SINDY_FROZEN,wg_sindy,WG-SINDy frozen v6 operating point: kmeans/cov/local-poly-2/adaptive-lasso/GLS/Cholesky/R16,True,,yes,v5.5 global default V5GREEDY_local_poly_order_2,indep_ou,1,2,9101,0,A,z,adaptive_lasso,kmeans,64,1.5,cov,50,2,row,1.0,,left,relative,,0.12,5,0.2;0.5;0.8;0.95,1.0,1e-08,1e-10,True,1,,chol,0.05,False,16,1600,0.01,1,16.0,True,False,VALIDATED_POSITIVE,strong,strong,strong,0.9371581364844273,0.05259074538033174,0.01721222118051373,0.058638994303542254,0.04598235314620616,0.018562206738246708,0.009752710607175205,,,,1.0,0.06507373800137026,0.01721222118051373,,,True,-0.012482992621038518,0.0,,7.81004899453379,0,0.75,5,False,0.0790792222777937,,22.035682774003362,,non_oracle_composite
v6_necessity,WG_SINDY_FROZEN,WG_SINDY_FROZEN,wg_sindy,WG-SINDy frozen v6 operating point: kmeans/cov/local-poly-2/adaptive-lasso/GLS/Cholesky/R16,True,,yes,v5.5 global default V5GREEDY_local_poly_order_2,coupled_ou,1,2,9101,0,A,z,adaptive_lasso,kmeans,64,1.5,cov,50,2,row,1.0,,left,relative,,0.12,5,0.2;0.5;0.8;0.95,1.0,1e-08,1e-10,True,1,,chol,0.05,False,16,1600,0.01,1,16.0,True,False,VALIDATED_POSITIVE,strong,strong,strong,0.9310630664115713,0.05416893006721889,0.04291859769265351,0.03680085799049202,0.06599869615309113,0.005196386620326746,0.008944939216478943,,,,1.0,0.09747450028955791,0.04291859769265351,,,True,-0.043305570222339024,0.0,,13.558288850898977,0,1.75,5,False,3.7782518138224287e-05,,22.168651308020344,,non_oracle_composite
v6_necessity,WG_SINDY_FROZEN,WG_SINDY_FROZEN,wg_sindy,WG-SINDy frozen v6 operating point: kmeans/cov/local-poly-2/adaptive-lasso/GLS/Cholesky/R16,True,,yes,v5.5 global default V5GREEDY_local_poly_order_2,spiral_sink_corr,2,2,9101,0,A,z,adaptive_lasso,kmeans,64,1.5,cov,50,2,row,1.0,,left,relative,,0.12,5,0.2;0.5;0.8;0.95,1.0,1e-08,1e-10,True,1,,chol,0.05,False,16,1600,0.01,1,16.0,True,False,VALIDATED_POSITIVE,strong,strong,strong,0.9764081149093343,0.08195662803208106,0.03896086667232574,0.11885140764251508,0.025806642377093122,0.013276548462903383,0.01805598371389053,0.08506690165255473,0.9999999999999997,1.0,1.0,0.07160502120518888,0.03896086667232574,0.08506690165255473,0.9999999999999997,True,0.010351606826892179,0.0,0.0,8.724429087981656,0,1.25,5,False,1.6295998509745264e-05,,22.209224535996327,,non_oracle_composite
v6_necessity,WG_SINDY_FROZEN,WG_SINDY_FROZEN,wg_sindy,WG-SINDy frozen v6 operating point: kmeans/cov/local-poly-2/adaptive-lasso/GLS/Cholesky/R16,True,,yes,v5.5 global default V5GREEDY_local_poly_order_2,correlated_ou,1,2,9101,0,A,z,adaptive_lasso,kmeans,64,1.5,cov,50,2,row,1.0,,left,relative,,0.12,5,0.2;0.5;0.8;0.95,1.0,1e-08,1e-10,True,1,,chol,0.05,False,16,1600,0.01,1,16.0,True,False,VALIDATED_POSITIVE,medium,medium,strong,0.9215346809469815,0.31232976293865233,0.027506202739152743,0.04959427856685406,0.46290187760746876,0.004399059424533113,0.001819778380886955,0.055009863534838964,1.0,1.0,1.0,0.07314826211482447,0.027506202739152743,0.055009863534838964,1.0,True,0.23918150082382786,0.0,0.0,13.116500355555475,0,1.25,5,False,3.0357622006338757e-05,,22.31674546501017,,non_oracle_composite
v6_necessity,WG_SINDY_FROZEN,WG_SINDY_FROZEN,wg_sindy,WG-SINDy frozen v6 operating point: kmeans/cov/local-poly-2/adaptive-lasso/GLS/Cholesky/R16,True,,yes,v5.5 global default V5GREEDY_local_poly_order_2,rotational_ou,2,2,9101,0,A,z,adaptive_lasso,kmeans,64,1.5,cov,50,2,row,1.0,,left,relative,,0.12,5,0.2;0.5;0.8;0.95,1.0,1e-08,1e-10,True,1,,chol,0.05,False,16,1600,0.01,1,16.0,True,False,VALIDATED_POSITIVE,strong,strong,strong,0.9360233375501239,0.058981423606126,0.01742567839780053,0.027339635141056636,0.0785061388058534,0.022481686143052463,0.010093677397877698,,,,1.0,0.07988863898129772,0.01742567839780053,,,True,-0.02090721537517172,0.0,,11.070458802223868,0,1.125,5,False,0.0790709617058935,,22.43172819397296,,non_oracle_composite
v6_necessity,WG_SINDY_FROZEN,WG_SINDY_FROZEN,wg_sindy,WG-SINDy frozen v6 operating point: kmeans/cov/local-poly-2/adaptive-lasso/GLS/Cholesky/R16,True,,yes,v5.5 global default V5GREEDY_local_poly_order_2,double_well_transverse,3,2,9101,0,B,z,adaptive_lasso,kmeans,64,1.5,cov,50,2,row,1.0,,left,relative,,0.12,5,0.2;0.5;0.8;0.95,1.0,1e-08,1e-10,True,1,,chol,0.05,False,16,1600,0.01,1,16.0,True,False,VALIDATED_POSITIVE,strong,strong,strong,0.911701141801442,0.1687188334320333,0.016606178967384568,0.2520783679130158,0.08153373972228992,0.022619411008465387,0.006316059327122103,,,,1.0,0.09556146740071703,0.016606178967384568,,,True,0.07315736603131628,0.0,,49.884447105420946,0,1.375,5,False,0.07906996434507794,,30.062642024015076,,non_oracle_composite
v6_necessity,WG_SINDY_FROZEN,WG_SINDY_FROZEN,wg_sindy,WG-SINDy frozen v6 operating point: kmeans/cov/local-poly-2/adaptive-lasso/GLS/Cholesky/R16,True,,yes,v5.5 global default V5GREEDY_local_poly_order_2,gradient_potential,3,2,9101,0,B,z,adaptive_lasso,kmeans,64,1.5,cov,50,2,row,1.0,,left,relative,,0.12,5,0.2;0.5;0.8;0.95,1.0,1e-08,1e-10,True,1,,chol,0.05,False,16,1600,0.01,1,16.0,True,False,VALIDATED_POSITIVE,medium,medium,strong,0.8938330507125468,0.25687971835028295,0.017750762449161878,0.26007387728342873,0.2542137055014559,0.024098719860277232,0.007030706660715591,,,,1.0,0.15095608069075883,0.017750762449161878,,,True,0.10592363765952412,0.0,,42.068461093280504,0,1.125,5,False,0.07906956923098721,,31.034108619001927,,non_oracle_composite
v6_necessity,WG_SINDY_FROZEN,WG_SINDY_FROZEN,wg_sindy,WG-SINDy frozen v6 operating point: kmeans/cov/local-poly-2/adaptive-lasso/GLS/Cholesky/R16,True,,yes,v5.5 global default V5GREEDY_local_poly_order_2,nongradient_circulation,3,2,9101,0,B,z,adaptive_lasso,kmeans,64,1.5,cov,50,2,row,1.0,,left,relative,,0.12,5,0.2;0.5;0.8;0.95,1.0,1e-08,1e-10,True,1,,chol,0.05,False,16,1600,0.01,1,16.0,True,False,VALIDATED_POSITIVE,strong,strong,strong,0.8930982293902016,0.24499024717436343,0.03477685211173566,0.23950061217624324,0.2503829970170799,0.04918066674884767,0.00034771215373652353,,,,1.0,0.15285680411398808,0.03477685211173566,,,True,0.09213344306037535,0.0,,68.52223606409102,0,1.875,5,False,0.07907019043546312,,32.402489592001075,,non_oracle_composite
v6_necessity,WG_SINDY_FROZEN,WG_SINDY_FROZEN,wg_sindy,WG-SINDy frozen v6 operating point: kmeans/cov/local-poly-2/adaptive-lasso/GLS/Cholesky/R16,True,,yes,v5.5 global default V5GREEDY_local_poly_order_2,heston_logsv,5,2,9101,0,D,z,adaptive_lasso,kmeans,64,1.5,cov,50,2,row,1.0,,left,relative,,0.12,5,0.2;0.5;0.8;0.95,1.0,1e-08,1e-10,True,1,,chol,0.05,False,16,2600,0.003968253968253968,1,10.317460317460316,True,False,VALIDATED_POSITIVE,medium,medium,strong,0.9339386148907284,0.31621307332446746,0.05350607933717004,1.0,0.03325785706088794,0.0392006295596023,0.30872714452755684,0.10224909344951177,0.9964576401129306,1.0,1.0,0.410825333248821,0.05350607933717004,0.10224909344951177,0.9964576401129306,True,-0.09461225992435351,0.0,0.0,12.943101335284853,0,2.25,5,False,0.03952850111858438,,27.792044055997394,,non_oracle_composite
v6_necessity,WG_SINDY_FROZEN,WG_SINDY_FROZEN,wg_sindy,WG-SINDy frozen v6 operating point: kmeans/cov/local-poly-2/adaptive-lasso/GLS/Cholesky/R16,True,,yes,v5.5 global default V5GREEDY_local_poly_order_2,diag_multiplicative,4,2,9101,0,A,z,adaptive_lasso,kmeans,64,1.5,cov,50,2,row,1.0,,left,relative,,0.12,5,0.2;0.5;0.8;0.95,1.0,1e-08,1e-10,True,1,,chol,0.05,False,16,1600,0.01,1,16.0,True,False,VALIDATED_POSITIVE,strong,strong,strong,0.9022631646314457,0.04799933723004629,0.17460418252696952,0.04523118179573849,0.0511008405096742,0.17463996144742722,0.15689846107139005,,,,1.0,0.08220663106323278,0.17460418252696952,,,True,-0.03420729383318649,0.0,,10.702385061756518,0,1.875,5,False,7.779308754528524e-06,,31.138608200999442,,non_oracle_composite
