system,seed,drift_abs_diff,diffusion_abs_diff,score_abs_diff,equivalent
cir_pair,9101,0.0,0.0,0.0,True
cir_pair,9102,0.0,0.0,0.0,True
cir_pair,9103,0.0,0.0,0.0,True
cir_pair,9104,0.0,0.0,0.0,True
cir_pair,9105,0.0,0.0,0.0,True
cir_pair,9106,0.0,0.0,0.0,True
cir_pair,9107,0.0,0.0,0.0,True
cir_pair,9108,0.0,0.0,0.0,True
cir_pair,9109,0.0,0.0,0.0,True
cir_pair,9110,0.0,0.0,0.0,True
correlated_ou,9101,0.0,0.0,0.0,True
correlated_ou,9102,0.0,0.0,0.0,True
correlated_ou,9103,0.0,0.0,0.0,True
correlated_ou,9104,0.0,0.0,0.0,True
correlated_ou,9105,0.0,0.0,0.0,True
correlated_ou,9106,0.0,0.0,0.0,True
correlated_ou,9107,0.0,0.0,0.0,True
correlated_ou,9108,0.0,0.0,0.0,True
correlated_ou,9109,0.0,0.0,0.0,True
correlated_ou,9110,0.0,0.0,0.0,True
coupled_ou,9101,0.0,0.0,0.0,True
coupled_ou,9102,0.0,0.0,0.0,True
coupled_ou,9103,0.0,0.0,0.0,True
coupled_ou,9104,0.0,0.0,0.0,True
coupled_ou,9105,0.0,0.0,0.0,True
coupled_ou,9106,0.0,0.0,0.0,True
coupled_ou,9107,0.0,0.0,0.0,True
coupled_ou,9108,0.0,0.0,0.0,True
coupled_ou,9109,0.0,0.0,0.0,True
coupled_ou,9110,0.0,0.0,0.0,True
diag_multiplicative,9101,0.0,0.0,0.0,True
diag_multiplicative,9102,0.0,0.0,0.0,True
diag_multiplicative,9103,0.0,0.0,0.0,True
diag_multiplicative,9104,0.0,0.0,0.0,True
diag_multiplicative,9105,0.0,0.0,0.0,True
diag_multiplicative,9106,0.0,0.0,0.0,True
diag_multiplicative,9107,0.0,0.0,0.0,True
diag_multiplicative,9108,0.0,0.0,0.0,True
diag_multiplicative,9109,0.0,0.0,0.0,True
diag_multiplicative,9110,0.0,0.0,0.0,True
double_well_transverse,9101,0.0,0.0,0.0,True
double_well_transverse,9102,0.0,0.0,0.0,True
double_well_transverse,9103,0.0,0.0,0.0,True
double_well_transverse,9104,0.0,0.0,0.0,True
double_well_transverse,9105,0.0,0.0,0.0,True
double_well_transverse,9106,0.0,0.0,0.0,True
double_well_transverse,9107,0.0,0.0,0.0,True
double_well_transverse,9108,0.0,0.0,0.0,True
double_well_transverse,9109,0.0,0.0,0.0,True
double_well_transverse,9110,0.0,0.0,0.0,True
gradient_potential,9101,0.0,0.0,0.0,True
gradient_potential,9102,0.0,0.0,0.0,True
gradient_potential,9103,0.0,0.0,0.0,True
gradient_potential,9104,0.0,0.0,0.0,True
gradient_potential,9105,0.0,0.0,0.0,True
gradient_potential,9106,0.0,0.0,0.0,True
gradient_potential,9107,0.0,0.0,0.0,True
gradient_potential,9108,0.0,0.0,0.0,True
gradient_potential,9109,0.0,0.0,0.0,True
gradient_potential,9110,0.0,0.0,0.0,True
heston_logsv,9101,0.0,0.0,0.0,True
heston_logsv,9102,0.0,0.0,0.0,True
heston_logsv,9103,0.0,0.0,0.0,True
heston_logsv,9104,0.0,0.0,0.0,True
heston_logsv,9105,0.0,0.0,0.0,True
heston_logsv,9106,0.0,0.0,0.0,True
heston_logsv,9107,0.0,0.0,0.0,True
heston_logsv,9108,0.0,0.0,0.0,True
heston_logsv,9109,0.0,0.0,0.0,True
heston_logsv,9110,0.0,0.0,0.0,True
heston_sv,9101,0.0,0.0,0.0,True
heston_sv,9102,0.0,0.0,0.0,True
heston_sv,9103,0.0,0.0,0.0,True
heston_sv,9104,0.0,0.0,0.0,True
heston_sv,9105,0.0,0.0,0.0,True
heston_sv,9106,0.0,0.0,0.0,True
heston_sv,9107,0.0,0.0,0.0,True
heston_sv,9108,0.0,0.0,0.0,True
heston_sv,9109,0.0,0.0,0.0,True
heston_sv,9110,0.0,0.0,0.0,True
indep_ou,9101,0.0,0.0,0.0,True
indep_ou,9102,0.0,0.0,0.0,True
indep_ou,9103,0.0,0.0,0.0,True
indep_ou,9104,0.0,0.0,0.0,True
indep_ou,9105,0.0,0.0,0.0,True
indep_ou,9106,0.0,0.0,0.0,True
indep_ou,9107,0.0,0.0,0.0,True
indep_ou,9108,0.0,0.0,0.0,True
indep_ou,9109,0.0,0.0,0.0,True
indep_ou,9110,0.0,0.0,0.0,True
nondiag_cholesky,9101,0.0,0.0,0.0,True
nondiag_cholesky,9102,0.0,0.0,0.0,True
nondiag_cholesky,9103,0.0,0.0,0.0,True
nondiag_cholesky,9104,0.0,0.0,0.0,True
nondiag_cholesky,9105,0.0,0.0,0.0,True
nondiag_cholesky,9106,0.0,0.0,0.0,True
nondiag_cholesky,9107,0.0,0.0,0.0,True
nondiag_cholesky,9108,0.0,0.0,0.0,True
nondiag_cholesky,9109,0.0,0.0,0.0,True
nondiag_cholesky,9110,0.0,0.0,0.0,True
nongradient_circulation,9101,0.0,0.0,0.0,True
nongradient_circulation,9102,0.0,0.0,0.0,True
nongradient_circulation,9103,0.0,0.0,0.0,True
nongradient_circulation,9104,0.0,0.0,0.0,True
nongradient_circulation,9105,0.0,0.0,0.0,True
nongradient_circulation,9106,0.0,0.0,0.0,True
nongradient_circulation,9107,0.0,0.0,0.0,True
nongradient_circulation,9108,0.0,0.0,0.0,True
nongradient_circulation,9109,0.0,0.0,0.0,True
nongradient_circulation,9110,0.0,0.0,0.0,True
rotational_ou,9101,0.0,0.0,0.0,True
rotational_ou,9102,0.0,0.0,0.0,True
rotational_ou,9103,0.0,0.0,0.0,True
rotational_ou,9104,0.0,0.0,0.0,True
rotational_ou,9105,0.0,0.0,0.0,True
rotational_ou,9106,0.0,0.0,0.0,True
rotational_ou,9107,0.0,0.0,0.0,True
rotational_ou,9108,0.0,0.0,0.0,True
rotational_ou,9109,0.0,0.0,0.0,True
rotational_ou,9110,0.0,0.0,0.0,True
spiral_sink_corr,9101,0.0,0.0,0.0,True
spiral_sink_corr,9102,0.0,0.0,0.0,True
spiral_sink_corr,9103,0.0,0.0,0.0,True
spiral_sink_corr,9104,0.0,0.0,0.0,True
spiral_sink_corr,9105,0.0,0.0,0.0,True
spiral_sink_corr,9106,0.0,0.0,0.0,True
spiral_sink_corr,9107,0.0,0.0,0.0,True
spiral_sink_corr,9108,0.0,0.0,0.0,True
spiral_sink_corr,9109,0.0,0.0,0.0,True
spiral_sink_corr,9110,0.0,0.0,0.0,True
