variant_id,method_label,system,tier,n,median_inscope_score,median_objective_drift_rel_l2,median_diffusion_rel_l2,median_a12_cosine,median_psd_valid_pct,dominates_b0_on_system,negative_or_inconclusive_count,description
B0_NAIVE_1D_PORT,B0_NAIVE_1D_PORT,rotational_ou,2,10,0.8876250926636278,0.39884919218714887,0.1518764013667186,,1.0,True,1,"Faithful naive 1D weak-form port to five 2D targets: raw coords, local-constant kernels, STLSQ, no GLS, no Cholesky"
B0_PRIME_IN_REPO_REPORT,B0_PRIME_IN_REPO_REPORT,rotational_ou,2,10,0.8876250926636278,0.39884919218714887,0.1518764013667186,,1.0,True,1,"Faithful naive 1D weak-form port to five 2D targets: raw coords, local-constant kernels, STLSQ, no GLS, no Cholesky"
GEDMD_DENSE_PROXY,GEDMD_DENSE_PROXY,diag_multiplicative,4,10,0.8826590620803327,0.5247491039532703,0.08037143535180434,,1.0,True,0,"Dense gEDMD-style operator proxy: high-degree ridge dictionary, not sparse symbolic"
KM_LOCAL_MOMENT,KM_LOCAL_MOMENT,diag_multiplicative,4,10,0.8802352141388443,0.5239393867874016,0.07579253597517259,,1.0,True,0,Kramers-Moyal/local increment-moment proxy with ridge thresholding
GEDMD_DENSE_PROXY,GEDMD_DENSE_PROXY,double_well_transverse,3,10,0.876497466262528,0.5630320410625747,0.07291079089227703,,1.0,True,2,"Dense gEDMD-style operator proxy: high-degree ridge dictionary, not sparse symbolic"
KM_LOCAL_MOMENT,KM_LOCAL_MOMENT,coupled_ou,1,10,0.86933103184561,0.5618251921972278,0.08702024948787694,,1.0,True,1,Kramers-Moyal/local increment-moment proxy with ridge thresholding
WEAK_SINDY_TEMPORAL_PROXY,WEAK_SINDY_TEMPORAL_PROXY,spiral_sink_corr,2,10,0.8687757966538151,0.6500801114197147,0.031047135764904022,0.9999999999999999,1.0,True,0,Temporal-test-function weak-SINDy proxy: midpoint/subsampled targets expose endogeneity bias
GEDMD_DENSE_PROXY,GEDMD_DENSE_PROXY,gradient_potential,3,10,0.8657058272989493,0.6403196646352775,0.058716751103811304,,1.0,True,2,"Dense gEDMD-style operator proxy: high-degree ridge dictionary, not sparse symbolic"
KM_LOCAL_MOMENT,KM_LOCAL_MOMENT,gradient_potential,3,10,0.8645494609257283,0.602787672272088,0.09406305821094132,,1.0,True,0,Kramers-Moyal/local increment-moment proxy with ridge thresholding
GEDMD_DENSE_PROXY,GEDMD_DENSE_PROXY,heston_logsv,5,10,0.8585712293749908,0.5448094188585384,0.07361283576890709,0.9953419023904645,0.9260355029585798,True,10,"Dense gEDMD-style operator proxy: high-degree ridge dictionary, not sparse symbolic"
B0_NAIVE_1D_PORT,B0_NAIVE_1D_PORT,spiral_sink_corr,2,10,0.840842907676931,0.6581995831959053,0.12787538058934445,0.9888113310985032,1.0,True,3,"Faithful naive 1D weak-form port to five 2D targets: raw coords, local-constant kernels, STLSQ, no GLS, no Cholesky"
B0_PRIME_IN_REPO_REPORT,B0_PRIME_IN_REPO_REPORT,spiral_sink_corr,2,10,0.840842907676931,0.6581995831959053,0.12787538058934445,0.9888113310985032,1.0,True,3,"Faithful naive 1D weak-form port to five 2D targets: raw coords, local-constant kernels, STLSQ, no GLS, no Cholesky"
