system,metric,value,threshold,oracle_value,diagnosis_class,evidence,action
near_singular,diffusion_rel_l2,1.5881641386701066,0.75,0.1813899771094993,real_recovery_failure,registry=FRAGILE; oracle=0.1814; value=1.588,keep number; route to named-null segment; display with split/log-clipped heatmap
near_singular,a12_cosine,0.8612835511884385,0.85,0.9830197723469732,ok,within audit threshold,no action
near_singular,psd_valid_pct,0.5190311418685121,0.95,,real_recovery_failure,registry=FRAGILE; oracle=nan; value=0.519,keep number; route to named-null segment; display with split/log-clipped heatmap
nondiag_cholesky,drift_rel_l2,0.1844595785293974,1.0,0.0964363601803152,ok,within audit threshold,no action
nondiag_cholesky,diffusion_rel_l2,0.0798989273376405,0.75,0.0239937974871458,ok,within audit threshold,no action
nondiag_cholesky,a12_cosine,0.9813695052170374,0.85,0.9873558256935882,ok,within audit threshold,no action
nondiag_cholesky,psd_valid_pct,1.0,0.95,,ok,within audit threshold,no action
nongradient_circulation,drift_rel_l2,0.4914556881747393,1.0,0.2160829671065809,ok,within audit threshold,no action
nongradient_circulation,diffusion_rel_l2,0.0362472251778825,0.75,0.0168829147319986,ok,within audit threshold,no action
nongradient_circulation,psd_valid_pct,1.0,0.95,,ok,within audit threshold,no action
nonpoly_drift,drift_rel_l2,0.3400322654364645,1.0,0.1707886325660775,ok,within audit threshold,no action
nonpoly_drift,diffusion_rel_l2,0.0482389776458808,0.75,0.0141847374142306,ok,within audit threshold,no action
nonpoly_drift,psd_valid_pct,1.0,0.95,,ok,within audit threshold,no action
ou,drift_rel_l2,0.1974726229068617,1.0,0.1705105097853627,ok,within audit threshold,no action
ou,diffusion_rel_l2,0.0274218877156054,0.75,0.0260499926161837,ok,within audit threshold,no action
ou,psd_valid_pct,1.0,0.95,,ok,within audit threshold,no action
partial_observation,drift_rel_l2,0.1392492766962284,1.0,0.133981901335747,ok,within audit threshold,no action
partial_observation,diffusion_rel_l2,0.015366800782486,0.75,0.0150612556388212,ok,within audit threshold,no action
partial_observation,psd_valid_pct,1.0,0.95,,ok,within audit threshold,no action
rotational_ou,drift_rel_l2,0.13333229919908,1.0,0.0973369292557971,ok,within audit threshold,no action
rotational_ou,diffusion_rel_l2,0.0258357495645634,0.75,0.0239096443533956,ok,within audit threshold,no action
rotational_ou,psd_valid_pct,1.0,0.95,,ok,within audit threshold,no action
spiral_sink_corr,drift_rel_l2,0.207714645510465,1.0,0.1025001385450128,ok,within audit threshold,no action
spiral_sink_corr,diffusion_rel_l2,0.0307114080110487,0.75,0.0278850969330294,ok,within audit threshold,no action
spiral_sink_corr,a12_cosine,0.9999999999999996,0.85,1.0,ok,within audit threshold,no action
spiral_sink_corr,psd_valid_pct,1.0,0.95,,ok,within audit threshold,no action
too_large_dt,drift_rel_l2,0.5994730245314793,1.0,0.3247347148931025,ok,within audit threshold,no action
too_large_dt,diffusion_rel_l2,0.1920567659314888,0.75,0.1335245879526578,ok,within audit threshold,no action
too_large_dt,psd_valid_pct,1.0,0.95,,ok,within audit threshold,no action
underdamped_langevin,drift_rel_l2,0.2690142882047455,1.0,0.168703107052541,ok,within audit threshold,no action
underdamped_langevin,diffusion_rel_l2,0.5094422323248805,0.75,0.5111188603936099,ok,within audit threshold,no action
underdamped_langevin,psd_valid_pct,0.5294117647058824,0.95,,real_recovery_failure,registry=FRAGILE; oracle=nan; value=0.5294,keep number; route to named-null segment; display with split/log-clipped heatmap
