stage,config_id,variant_id,family,description,implemented,infeasible_reason,core_identity_preserving,graft_source,system,tier,dim,seed,run,library,library_space,regressor,center_scheme,M,bandwidth_mult,bandwidth_rule,knn_k,local_poly_order,projection_normalization,projection_scales,prune_min_effective_samples,target_anchor,threshold_mode,threshold,stlsq_threshold,pseudo_blocks,l1_ratio_grid,adaptive_gamma,svd_rtol,ridge_floor,gls_weighting,gls_iterations,target_regression_kw,diffusion_parameterization,diffusion_shrinkage,rank1_project,R,n_steps,dt,subsample_k,T,bias_correct,noise_correct,status,pass_level,drift_pass_level,tensor_pass_level,score,drift_rel_l2,diffusion_rel_l2,b1_rel_l2,b2_rel_l2,a11_rel_l2,a22_rel_l2,a12_rel_l2,a12_cosine,a12_sign_acc,psd_valid_pct,oracle_drift_rel_l2,oracle_diffusion_rel_l2,oracle_a12_rel_l2,oracle_a12_cosine,oracle_ols_passes,oracle_headroom_drift,oracle_headroom_diffusion,oracle_headroom_a12,cond_design,rank_deficient_targets,mean_selected_terms,max_cv_folds,used_pseudo_blocks,mean_alpha,mean_l1_ratio,runtime_sec,error,selection_basis
v6_ladder,LADDER_6_WG_SINDY,LADDER_6_WG_SINDY,graft_ladder,Full frozen WG-SINDy with R=16,True,,yes,v5.5 global default V5GREEDY_local_poly_order_2,nongradient_circulation,3,2,9104,3,B,z,adaptive_lasso,kmeans,64,1.5,cov,50,2,row,1.0,,left,relative,,0.12,5,0.2;0.5;0.8;0.95,1.0,1e-08,1e-10,True,1,,chol,0.05,False,16,1600,0.01,1,16.0,True,False,VALIDATED_POSITIVE,medium,medium,strong,0.8888176656751795,0.28980016449942403,0.017485877541121485,0.2864216354608945,0.2931616170905321,0.0012125791891300854,0.024699017763390556,,,,1.0,0.1903896547002867,0.017485877541121485,,,True,0.09941050979913732,0.0,,50.323559924999,0,2.0,5,False,0.07906403383633248,,33.847350128984544,,non_oracle_composite
v6_ladder,LADDER_6_WG_SINDY,LADDER_6_WG_SINDY,graft_ladder,Full frozen WG-SINDy with R=16,True,,yes,v5.5 global default V5GREEDY_local_poly_order_2,nondiag_cholesky,4,2,9104,3,C,z,adaptive_lasso,kmeans,64,1.5,cov,50,2,row,1.0,,left,relative,,0.12,5,0.2;0.5;0.8;0.95,1.0,1e-08,1e-10,True,1,,chol,0.05,False,16,1600,0.01,1,16.0,True,False,INCONCLUSIVE,fail,medium,fail,0.9182661796601871,0.28153215944677284,0.08081199349159858,0.3479510185115133,0.07105782414224399,0.07701514154681559,0.06349573506689475,0.45631609597892153,0.8946618524084697,0.956140350877193,1.0,0.1529189011610709,0.08081199349159858,0.45631609597892153,0.8946618524084697,True,0.12861325828570194,0.0,0.0,139.17468279573694,0,2.5,5,False,1.706956825673173e-06,,30.4626164129877,,non_oracle_composite
v6_ladder,LADDER_6_WG_SINDY,LADDER_6_WG_SINDY,graft_ladder,Full frozen WG-SINDy with R=16,True,,yes,v5.5 global default V5GREEDY_local_poly_order_2,indep_ou,1,2,9105,4,A,z,adaptive_lasso,kmeans,64,1.5,cov,50,2,row,1.0,,left,relative,,0.12,5,0.2;0.5;0.8;0.95,1.0,1e-08,1e-10,True,1,,chol,0.05,False,16,1600,0.01,1,16.0,True,False,VALIDATED_POSITIVE,strong,strong,strong,0.9060020895179131,0.17578415327935293,0.03558229418018284,0.10930631340228394,0.22331607408055687,0.028933875310916776,0.0019087727974863168,,,,1.0,0.10016809814907421,0.03558229418018284,,,True,0.07561605513027872,0.0,,8.259660408956705,0,1.125,5,False,1.8571366004470467e-05,,22.795247711997945,,non_oracle_composite
v6_ladder,LADDER_6_WG_SINDY,LADDER_6_WG_SINDY,graft_ladder,Full frozen WG-SINDy with R=16,True,,yes,v5.5 global default V5GREEDY_local_poly_order_2,correlated_ou,1,2,9105,4,A,z,adaptive_lasso,kmeans,64,1.5,cov,50,2,row,1.0,,left,relative,,0.12,5,0.2;0.5;0.8;0.95,1.0,1e-08,1e-10,True,1,,chol,0.05,False,16,1600,0.01,1,16.0,True,False,VALIDATED_POSITIVE,strong,strong,strong,0.9580496371512027,0.16111265040118752,0.043440134172700075,0.09220752055467706,0.21226257820486838,0.022835787501832457,0.012455753182811361,0.07993742864507933,0.9999999999999996,1.0,1.0,0.10217787704972836,0.043440134172700075,0.07993742864507933,0.9999999999999996,True,0.05893477335145916,0.0,0.0,13.196830666740262,0,1.25,5,False,1.72090356760309e-05,,23.073992632998852,,non_oracle_composite
v6_ladder,LADDER_6_WG_SINDY,LADDER_6_WG_SINDY,graft_ladder,Full frozen WG-SINDy with R=16,True,,yes,v5.5 global default V5GREEDY_local_poly_order_2,cir_pair,5,2,9104,3,F,raw,adaptive_lasso,kmeans,64,1.5,cov,50,2,row,1.0,,left,relative,,0.12,5,0.2;0.5;0.8;0.95,1.0,1e-08,1e-10,True,1,,chol,0.05,False,16,2600,0.003968253968253968,1,10.317460317460316,True,False,VALIDATED_POSITIVE,medium,medium,strong,0.8949863506445366,0.3265719222689368,0.21322099431289177,0.24549434305125692,0.4130848296080043,0.07177782126369933,0.23313343832699984,0.3228437205164306,0.9766733894902264,1.0,1.0,0.34131903080369985,0.21322099431289177,0.3228437205164306,0.9766733894902264,True,-0.014747108534763076,0.0,0.0,9717.800399883958,0,3.125,5,False,4.417764174044173e-08,,39.78027134799049,,non_oracle_composite
v6_ladder,LADDER_6_WG_SINDY,LADDER_6_WG_SINDY,graft_ladder,Full frozen WG-SINDy with R=16,True,,yes,v5.5 global default V5GREEDY_local_poly_order_2,coupled_ou,1,2,9105,4,A,z,adaptive_lasso,kmeans,64,1.5,cov,50,2,row,1.0,,left,relative,,0.12,5,0.2;0.5;0.8;0.95,1.0,1e-08,1e-10,True,1,,chol,0.05,False,16,1600,0.01,1,16.0,True,False,VALIDATED_POSITIVE,medium,medium,strong,0.8728914700643147,0.3193367029000843,0.024365971572328914,0.2000182374108154,0.39939129124378814,0.033712479594882994,0.007132311048438589,,,,1.0,0.10310749182162832,0.024365971572328914,,,True,0.216229211078456,0.0,,11.216564159395357,0,1.5,5,False,0.0790896205646142,,26.131051166012185,,non_oracle_composite
v6_ladder,LADDER_6_WG_SINDY,LADDER_6_WG_SINDY,graft_ladder,Full frozen WG-SINDy with R=16,True,,yes,v5.5 global default V5GREEDY_local_poly_order_2,rotational_ou,2,2,9105,4,A,z,adaptive_lasso,kmeans,64,1.5,cov,50,2,row,1.0,,left,relative,,0.12,5,0.2;0.5;0.8;0.95,1.0,1e-08,1e-10,True,1,,chol,0.05,False,16,1600,0.01,1,16.0,True,False,VALIDATED_POSITIVE,strong,strong,strong,0.9309325221985241,0.07793772503215086,0.02566793182063373,0.08622482205347323,0.06863488664663184,0.03009819041547479,0.020292471057296705,,,,1.0,0.09484247366780546,0.02566793182063373,,,True,-0.016904748635654596,0.0,,9.130550765000045,0,1.0,5,False,0.07907915881750656,,25.56491379000363,,non_oracle_composite
v6_ladder,LADDER_6_WG_SINDY,LADDER_6_WG_SINDY,graft_ladder,Full frozen WG-SINDy with R=16,True,,yes,v5.5 global default V5GREEDY_local_poly_order_2,spiral_sink_corr,2,2,9105,4,A,z,adaptive_lasso,kmeans,64,1.5,cov,50,2,row,1.0,,left,relative,,0.12,5,0.2;0.5;0.8;0.95,1.0,1e-08,1e-10,True,1,,chol,0.05,False,16,1600,0.01,1,16.0,True,False,VALIDATED_POSITIVE,strong,strong,strong,0.9762424033345919,0.07437827910331186,0.04902921713755213,0.07919446876023233,0.07031087346192862,0.03830431130807199,0.027960660477228078,0.08606462797300511,1.0000000000000002,1.0,1.0,0.15600124474889904,0.04902921713755213,0.08606462797300511,1.0000000000000002,True,-0.08162296564558717,0.0,0.0,7.125007242227372,0,1.25,5,False,1.7913340616541313e-05,,25.378432127006818,,non_oracle_composite
v6_ladder,LADDER_6_WG_SINDY,LADDER_6_WG_SINDY,graft_ladder,Full frozen WG-SINDy with R=16,True,,yes,v5.5 global default V5GREEDY_local_poly_order_2,double_well_transverse,3,2,9105,4,B,z,adaptive_lasso,kmeans,64,1.5,cov,50,2,row,1.0,,left,relative,,0.12,5,0.2;0.5;0.8;0.95,1.0,1e-08,1e-10,True,1,,chol,0.05,False,16,1600,0.01,1,16.0,True,False,VALIDATED_POSITIVE,medium,medium,strong,0.8784524053966425,0.284022007296122,0.0309058018142822,0.4413341704070585,0.09824063767111542,0.0012229751756972107,0.025309728007600202,,,,1.0,0.08079027873221174,0.0309058018142822,,,True,0.20323172856391025,0.0,,58.819447232336714,0,1.75,5,False,1.5977991627512372e-05,,31.805832689016825,,non_oracle_composite
v6_ladder,LADDER_6_WG_SINDY,LADDER_6_WG_SINDY,graft_ladder,Full frozen WG-SINDy with R=16,True,,yes,v5.5 global default V5GREEDY_local_poly_order_2,heston_sv,5,2,9104,3,E,raw,adaptive_lasso,kmeans,64,1.5,cov,50,2,row,1.0,,left,relative,,0.12,5,0.2;0.5;0.8;0.95,1.0,1e-08,1e-10,True,1,,chol,0.05,False,16,2600,0.003968253968253968,1,10.317460317460316,True,False,NEGATIVE_RESULT_WORTH_REPORTING,fail,fail,strong,0.8481386812535829,0.755678127589318,0.09440906342654151,0.7556867339032983,0.5269654608977172,0.09027988389361144,19938.41305210081,0.5972264260708615,0.9600670130756616,1.0,1.0,0.9497600550968782,0.09440906342654151,0.5972264260708615,0.9600670130756616,False,-0.19408192750756026,0.0,0.0,1436220217800.3289,0,4.125,5,False,0.05178856536658971,,66.33673784398707,,non_oracle_composite
