system,tier,target,term_name,term_index,true_coef_median,true_coef_ci_low,true_coef_ci_high,recovered_coef_median,recovered_coef_ci_low,recovered_coef_ci_high,rel_error_median,target_in_scope_rate,raw_selected_rate,selected_rate,active_true_rate,selected,raw_false_positive_count,paper_seed_false_positive_count,stable_false_positive,false_positive_count
cir_pair,5,a11,1,0,-1.1013051212572762e-08,-1.1499457702467157e-08,-9.32645974212047e-09,9.485029279877543e-05,1.4108272438315453e-06,0.00016391170693129945,8613.535342657091,1.0,0.0,0.0,0.0,False,0,0,False,0
cir_pair,5,a11,sqrt(x),3,1.527986726803683e-07,1.2440068628674223e-07,1.5823256265049842e-07,9.462679355621584e-05,-0.0005557778575201597,0.004103211618055343,618.2906777021602,1.0,0.4,0.0,0.0,False,4,0,False,0
cir_pair,5,a11,sqrt(xy),5,-1.1167826998682875e-07,-1.1865508695235917e-07,-9.844342217933847e-08,0.0007526712635664809,-6.057143241303703e-08,0.007629992005844456,6740.639355581444,1.0,0.3,0.0,0.0,False,3,0,False,0
cir_pair,5,a11,sqrt(y),4,2.6047995786331722e-08,2.343485554066756e-08,2.7047966946412564e-08,-0.00023062652635347345,-0.0014781694171582985,-6.59975118286841e-05,8854.906774450996,1.0,0.1,0.0,0.0,False,1,0,False,0
cir_pair,5,a11,x,1,0.08999945707760625,0.08999942666345234,0.08999956725350614,0.08693798754981516,0.06487011189468374,0.08958640939695546,0.03401653329031963,1.0,1.0,0.9,1.0,True,0,0,False,0
cir_pair,5,a11,x^2,7,1.7118816679917472e-06,1.336519133109394e-06,1.9346316077106497e-06,0.00013120437442405234,-0.00012061869416315745,0.003549198202907883,75.64336669833703,1.0,0.5,0.3,0.0,False,5,3,False,0
cir_pair,5,a11,xy,6,6.238480017532801e-07,5.20885345023366e-07,6.868856752410989e-07,-0.001600589275323609,-0.048470856074995655,0.0008538582904427895,2566.671879729145,1.0,0.6,0.3,0.0,False,6,3,False,0
cir_pair,5,a11,y,2,-3.884121337498865e-08,-4.0706676831991116e-08,-3.388262857946708e-08,0.0024548434591113205,0.002095281342166419,0.003968188888325715,63203.02809864042,1.0,0.9,0.0,0.0,False,9,0,False,0
cir_pair,5,a11,y^2,8,-6.550620610138608e-13,-8.793294814326211e-13,-4.27777190703085e-13,-0.0002795478624721738,-0.0012545249737366784,0.0015447105210415434,279547861.8171118,1.0,0.4,0.0,0.0,False,4,0,False,0
cir_pair,5,a12,1,0,8.008244424210714e-09,7.1269717146943995e-09,8.255618039610141e-09,-6.468794447742891e-05,-0.00041714810469598804,0.001217419446631176,8078.668593863443,1.0,0.0,0.0,0.0,False,0,0,False,0
cir_pair,5,a12,sqrt(x),3,-5.3269754095930406e-08,-5.5401075074025255e-08,-4.765216494446554e-08,-0.00014894477029549257,-0.012265654597714736,0.0024839405343239796,2795.047641355103,1.0,0.7,0.0,0.0,False,7,0,False,0
cir_pair,5,a12,sqrt(xy),5,-0.05849976703702721,-0.05849979777689891,-0.05849975646934279,-0.03976490404214057,-0.05657542696252964,-0.030409916333147876,0.32025534363288105,1.0,1.0,0.6,1.0,True,0,0,False,0
cir_pair,5,a12,sqrt(y),4,-5.444819184889933e-08,-5.643051377064257e-08,-4.7339970293597736e-08,0.000224169432079564,-0.014563588827611008,0.0033574919014166676,4118.114351596151,1.0,0.6,0.0,0.0,False,6,0,False,0
cir_pair,5,a12,x,1,7.259079686783602e-08,6.398803962808501e-08,7.712586755591402e-08,0.0010958453907010954,-0.00824554648541276,0.02700965034278074,15095.202796840345,1.0,0.9,0.1,0.0,False,9,1,False,0
cir_pair,5,a12,x^2,7,1.5528395132869004e-12,9.99150284734312e-13,2.0775222190435466e-12,2.363806328436712e-08,-3.467954295546807e-07,0.00892809115851336,15221.476683590021,1.0,0.4,0.2,0.0,False,4,2,False,0
cir_pair,5,a12,xy,6,-1.2173924698626549e-06,-1.3069237941898678e-06,-9.911768688102652e-07,-0.04965463633516515,-0.19006699698961482,0.14723299988365462,40786.697939980804,1.0,0.9,0.9,0.0,True,9,9,False,0
cir_pair,5,a12,y,2,7.462782973510854e-08,6.439096896959929e-08,7.874001334891868e-08,-0.0020935405826025817,-0.012604520590064873,0.05443259709336794,28054.08140453237,1.0,0.9,0.2,0.0,False,9,2,False,0
cir_pair,5,a12,y^2,8,1.9043744600272074e-12,1.3549165870957039e-12,2.0521505092906917e-12,-1.2174272460609454e-07,-0.22319563559851552,0.013720627235382867,63928.933902429686,1.0,0.5,0.4,0.0,False,5,4,False,0
cir_pair,5,a22,1,0,-1.1561037663135499e-08,-1.1811834392746602e-08,-1.0078400920444495e-08,0.00041034625665297396,2.1906131550081548e-05,0.005264823665394119,35494.894978081305,1.0,0.0,0.0,0.0,False,0,0,False,0
cir_pair,5,a22,sqrt(x),3,2.6694762040800808e-08,2.3324284884801593e-08,2.749562671797852e-08,5.262630495749583e-05,-0.021681147926837074,0.0036852434128798878,1970.4094052256667,1.0,0.3,0.0,0.0,False,3,0,False,0
cir_pair,5,a22,sqrt(xy),5,-1.1481208883078443e-07,-1.2113845016292295e-07,-9.90630845321259e-08,0.029355850879560032,-6.033230361271259e-08,0.2975738259432166,255687.06214303873,1.0,0.8,0.1,0.0,False,8,1,False,0
cir_pair,5,a22,sqrt(y),4,1.577901209256935e-07,1.3793413210773166e-07,1.6572846828462972e-07,-0.008994913674924492,-0.05764959507765015,-0.002575008452349035,57006.55663532557,1.0,0.7,0.0,0.0,False,7,0,False,0
cir_pair,5,a22,x,1,-3.8841079943075636e-08,-4.07065061455265e-08,-3.3882581603290345e-08,-0.0035648807146879723,-0.019999590166943974,0.0016632984668671958,91780.19454743685,1.0,0.5,0.2,0.0,False,5,2,False,0
cir_pair,5,a22,x^2,7,-8.389925538522633e-13,-1.036266942183914e-12,-5.736933398509964e-13,2.609485739487305e-08,-0.004746807350844354,0.12221753007633791,26095.696387426902,1.0,0.5,0.3,0.0,False,5,3,False,0
cir_pair,5,a22,xy,6,6.529204131986732e-07,5.367926293326074e-07,7.022713475159908e-07,-0.06244248805911766,-1.8903861622467657,0.0332774393281622,95636.68054674592,1.0,0.8,0.7,0.0,True,8,7,False,0
cir_pair,5,a22,y,2,0.08999943826704193,0.08999938864034893,0.08999952322129764,0.09574034764018097,0.08171700958135308,0.15476082590231466,0.0637882800568698,1.0,1.0,0.6,1.0,True,0,0,False,0
cir_pair,5,a22,y^2,8,1.8263554676144368e-06,1.4527045936865123e-06,2.1306131526505936e-06,-0.010902366608226325,-0.04892647494812638,0.06024370961924574,5970.4658578523395,1.0,0.8,0.4,0.0,False,8,4,False,0
cir_pair,5,b1,1,0,0.08000024412425304,0.0800002066738915,0.0800002549048827,0.0574013378026499,2.4023039449879447e-06,0.07031980162177279,0.2824854670006189,1.0,0.6,0.0,1.0,False,0,0,False,0
cir_pair,5,b1,sqrt(x),3,-3.3911990022545633e-06,-3.5119551390814947e-06,-2.760700819152942e-06,-2.6793048766155187e-06,-0.3363631583569906,-1.9229818749328524e-06,0.20992401954758702,1.0,0.2,0.1,0.0,False,2,1,False,0
cir_pair,5,b1,sqrt(xy),5,2.4709157477141135e-06,2.177607004420294e-06,2.625709707714548e-06,2.319439728226226e-06,1.6848385073375375e-06,0.48827178675537797,0.06130359549006102,1.0,0.2,0.2,0.0,False,2,2,False,0
cir_pair,5,b1,sqrt(y),4,-5.744033190404014e-07,-5.966483570004529e-07,-5.168609926170212e-07,0.04826102238031382,-6.084000229894184e-07,0.15118964215393416,84020.40027251013,1.0,0.7,0.1,0.0,False,7,1,False,0
