system,tier,seed,target,term_name,term_index,coef_true,coef_hat,rel_error,target_in_scope,term_in_paper_scope,active_true,raw_selected,selected,false_positive
spiral_sink_corr,2,9101,b1,1,0,3.547072758700891e-12,-0.005512905713591727,1554212752.9286687,True,True,False,False,False,False
spiral_sink_corr,2,9101,b1,x,1,-0.9999999999107069,-0.8668468585564357,0.1331531413661608,True,True,True,True,True,False
spiral_sink_corr,2,9101,b1,y,2,-1.4999999997719267,-1.3400724486029443,0.10661836746219946,True,True,True,True,True,False
spiral_sink_corr,2,9101,b1,x^2,3,8.562667419238834e-12,6.803058536788212e-12,0.20549774927577882,True,True,False,False,False,False
spiral_sink_corr,2,9101,b1,xy,4,4.5652086502313175e-12,4.1847050176438245e-12,0.0833485743457121,True,True,False,False,False,False
spiral_sink_corr,2,9101,b1,y^2,5,-2.6247334075119343e-11,-2.4502900508838086e-11,0.06646136180111564,True,True,False,False,False,False
spiral_sink_corr,2,9101,b2,1,0,1.1946560283327979e-11,0.029327208812779094,2454866346.9065747,True,True,False,False,False,False
spiral_sink_corr,2,9101,b2,x,1,1.4999999998656313,1.499741163032832,0.00017255788854837062,True,True,True,True,True,False
spiral_sink_corr,2,9101,b2,y,2,-0.9999999998476647,-1.0406265964741748,0.04062659663269889,True,True,True,True,True,False
spiral_sink_corr,2,9101,b2,x^2,3,-1.2843205123442001e-11,-9.545679795513488e-12,0.2567525237068526,True,True,False,False,False,False
spiral_sink_corr,2,9101,b2,xy,4,1.1837923924179974e-11,1.2073450635582736e-11,0.0198959473731436,True,True,False,False,False,False
spiral_sink_corr,2,9101,b2,y^2,5,-1.7498110641291308e-11,-1.2599029673696265e-11,0.2799777111955388,True,True,False,False,False,False
spiral_sink_corr,2,9101,a11,1,0,0.9999999997316618,0.9867234512723172,0.013276548462907167,True,True,True,True,True,False
spiral_sink_corr,2,9101,a11,x,1,4.423524031775573e-12,4.364838384505861e-12,0.013266718310594682,True,True,False,False,False,False
spiral_sink_corr,2,9101,a11,y,2,-5.3132267358718364e-12,-5.242806899203506e-12,0.013253685598037133,True,True,False,False,False,False
spiral_sink_corr,2,9101,a11,x^2,3,1.1241742756042376e-10,1.1092690031416281e-10,0.013258862781393908,True,True,False,False,False,False
spiral_sink_corr,2,9101,a11,xy,4,1.3206505322909496e-13,1.3028200294092835e-13,0.0017830502881666095,True,True,False,False,False,False
spiral_sink_corr,2,9101,a11,y^2,5,1.9129751048490547e-10,1.8876056968997315e-10,0.01326175541177521,True,True,False,False,False,False
spiral_sink_corr,2,9101,a22,1,0,0.6399999998282632,0.6284441702544756,0.018055983713888144,True,True,True,True,True,False
spiral_sink_corr,2,9101,a22,x,1,2.8307231187369217e-12,2.779622767384534e-12,0.018052048614061837,True,True,False,False,False,False
spiral_sink_corr,2,9101,a22,y,2,-3.4005434788131758e-12,-3.3390883289045965e-12,0.018072155316193075,True,True,False,False,False,False
spiral_sink_corr,2,9101,a22,x^2,3,7.194718705119809e-11,7.064707368725493e-11,0.01807038492023315,True,True,False,False,False,False
spiral_sink_corr,2,9101,a22,xy,4,8.454656648485077e-14,8.300465571667519e-14,0.0015419107681755799,True,True,False,False,False,False
spiral_sink_corr,2,9101,a22,y^2,5,1.2243178820528517e-10,1.20220718495746e-10,0.01805960479668727,True,True,False,False,False,False
spiral_sink_corr,2,9101,a12,1,0,-0.3999999998926636,-0.3659732392407713,0.0850669016525577,True,True,True,True,True,False
spiral_sink_corr,2,9101,a12,x,1,-1.7693255354288691e-12,-1.6188595387860869e-12,0.0850414429848324,True,True,False,False,False,False
spiral_sink_corr,2,9101,a12,y,2,2.1253602245539245e-12,1.9445698549213736e-12,0.08506340127377494,True,True,False,False,False,False
spiral_sink_corr,2,9101,a12,x^2,3,-4.496696297449903e-11,-4.1142617328119166e-11,0.08504789724288622,True,True,False,False,False,False
spiral_sink_corr,2,9101,a12,xy,4,-5.282781883442187e-14,-4.8324584916333164e-14,0.004503233918088708,True,True,False,False,False,False
spiral_sink_corr,2,9101,a12,y^2,5,-7.652077489351511e-11,-7.001183808242618e-11,0.0850610415295277,True,True,False,False,False,False
coupled_ou,1,9101,b1,1,0,6.226705744483223e-12,0.027829011629551977,4469299299.710991,True,True,False,True,False,False
coupled_ou,1,9101,b1,x,1,-0.9999999998558963,-0.9782728645049138,0.021727135354113435,True,True,True,True,True,False
coupled_ou,1,9101,b1,y,2,0.49999999993984506,0.4799534102836707,0.04009317931717229,True,True,True,True,True,False
coupled_ou,1,9101,b1,x^2,3,-2.1032311085788485e-11,-1.5601428215410078e-11,0.2582161726415339,True,True,False,False,False,False
coupled_ou,1,9101,b1,xy,4,-4.3828958371035336e-12,-4.363536899230728e-12,0.004416928576974561,True,True,False,False,False,False
coupled_ou,1,9101,b1,y^2,5,8.357696374199223e-12,1.2194406319279197e-11,0.45906309266320783,True,True,False,False,False,False
coupled_ou,1,9101,b2,1,0,5.288918611026446e-12,-0.015220370365345175,2877784948.1181946,True,True,False,False,False,False
coupled_ou,1,9101,b2,x,1,0.49999999992827177,0.4869600611731369,0.02607987751401107,True,True,True,True,True,False
coupled_ou,1,9101,b2,y,2,-0.999999999879043,-0.9291889291416571,0.070811070745951,True,True,True,True,True,False
coupled_ou,1,9101,b2,x^2,3,1.051602432477217e-11,7.521594427490275e-12,0.28474923647980144,True,True,False,False,False,False
coupled_ou,1,9101,b2,xy,4,-3.0302262388494668e-12,-2.6333113264248273e-12,0.13098524042064344,True,True,False,False,False,False
coupled_ou,1,9101,b2,y^2,5,-1.6715625020089266e-11,-1.781318323071476e-11,0.06566061450328185,True,True,False,False,False,False
coupled_ou,1,9101,a11,1,0,0.9999999995332246,1.0051139321007345,0.005113932569896973,True,True,True,True,True,False
coupled_ou,1,9101,a11,x,1,-1.1826341835237498e-11,-1.3925505876429166e-05,1177498.0162162443,True,True,False,False,False,False
coupled_ou,1,9101,a11,y,2,-1.1202657805653573e-11,8.388046090184015e-06,748756.0040090375,True,True,False,False,False,False
coupled_ou,1,9101,a11,x^2,3,1.787270594647379e-10,5.965678652921202e-05,333786.09809178085,True,True,False,False,False,False
coupled_ou,1,9101,a11,xy,4,-4.316470102205544e-13,-6.0821340914628226e-05,60821340.48298122,True,True,False,False,False,False
coupled_ou,1,9101,a11,y^2,5,1.4989484875531412e-10,2.1547440134096675e-05,143749.37109694385,True,True,False,False,False,False
coupled_ou,1,9101,a22,1,0,0.9999999995332246,0.9886551165898317,0.011344882948688377,True,True,True,True,True,False
coupled_ou,1,9101,a22,x,1,-1.1826341835237498e-11,-0.000543094277285209,45922422.42150281,True,True,False,False,False,False
coupled_ou,1,9101,a22,y,2,-1.1202657805653573e-11,0.00032713422557825375,29201484.36702394,True,True,False,False,False,False
coupled_ou,1,9101,a22,x^2,3,1.787270594647379e-10,0.002326607845335182,13017657.614778541,True,True,False,False,False,False
coupled_ou,1,9101,a22,xy,4,-4.316470102205544e-13,-0.0023720322791766697,2372032278.745023,True,True,False,False,False,False
coupled_ou,1,9101,a22,y^2,5,1.4989484875531412e-10,0.0008403444376342394,5606225.262024547,True,True,False,False,False,False
coupled_ou,1,9101,a12,1,0,0.0,3.1797632938816315e-05,31797632.938816316,True,True,False,False,False,False
coupled_ou,1,9101,a12,x,1,0.0,-0.0013199372998855825,1319937299.8855824,True,True,False,True,False,False
coupled_ou,1,9101,a12,y,2,0.0,0.007285061648723744,7285061648.723744,True,True,False,True,True,True
coupled_ou,1,9101,a12,x^2,3,0.0,0.023000469714747857,23000469714.747856,True,True,False,True,True,True
coupled_ou,1,9101,a12,xy,4,0.0,-0.028294002684537738,28294002684.53774,True,True,False,True,True,True
coupled_ou,1,9101,a12,y^2,5,-0.0,1.2656784348967166e-13,0.12656784348967168,True,True,False,False,False,False
indep_ou,1,9101,b1,1,0,7.240738378840427e-12,0.013992709178372297,1932497549.148079,True,True,False,False,False,False
indep_ou,1,9101,b1,x,1,-0.9999999999265481,-0.9446037047466818,0.05539629518393529,True,True,True,True,True,False
indep_ou,1,9101,b1,y,2,-5.257661685209305e-13,-3.6474995393363605e-13,0.16101621458729448,True,True,False,False,False,False
indep_ou,1,9101,b1,x^2,3,-1.5319174662077908e-11,-1.3214850108196074e-11,0.13736539991877092,True,True,False,False,False,False
indep_ou,1,9101,b1,xy,4,7.844033934783771e-12,7.416744776181076e-12,0.05447313998833104,True,True,False,False,False,False
indep_ou,1,9101,b1,y^2,5,7.525296706908461e-16,4.862943289453483e-12,4.862190759782792,True,True,False,False,False,False
indep_ou,1,9101,b2,1,0,-1.8851008372853498e-11,-0.02086787698342405,1106989957.8753543,True,True,False,False,False,False
