system,seed,stat,true_value,recovered_value,abs_error
spiral_sink_corr,9101,mean_x,-0.015467086747143659,-0.008150410563422172,0.007316676183721487
spiral_sink_corr,9101,var_x,0.5376403480594103,0.42351820704305004,0.11412214101636026
spiral_sink_corr,9101,acf_x_lag1,0.9903434555016442,0.9891574435494632,0.001186011952180932
spiral_sink_corr,9101,mean_y,0.005891241065101549,0.24144532570362043,0.23555408463851887
spiral_sink_corr,9101,var_y,0.30201349609198713,0.2448169444633452,0.05719655162864193
spiral_sink_corr,9101,cov_xy,0.000660521188956221,0.05104250369518293,0.050381982506226705
spiral_sink_corr,9101,acf_y_lag1,0.9890432451622193,0.9861277232722102,0.0029155218900090984
spiral_sink_corr,9101,crosscorr_lag1,0.02176319345314294,0.1775119286017799,0.15574873514863696
coupled_ou,9101,mean_x,0.027474945412206617,0.5517590034355452,0.5242840580233386
coupled_ou,9101,var_x,0.6125271852194121,0.3901307442202005,0.22239644099921158
coupled_ou,9101,acf_x_lag1,0.9916534831717488,0.9874136510927857,0.004239832078963168
coupled_ou,9101,mean_y,-0.001981479996758997,0.5898802206833016,0.5918617006800606
coupled_ou,9101,var_y,0.6789042993892845,0.42742283781299656,0.251481461576288
coupled_ou,9101,cov_xy,0.3159928173168619,0.16452486016957305,0.15146795714728886
coupled_ou,9101,acf_y_lag1,0.9923378302149184,0.9878090676198563,0.004528762595062075
coupled_ou,9101,crosscorr_lag1,0.4900248070611144,0.396159244848524,0.0938655622125904
indep_ou,9101,mean_x,0.014813311765519477,-0.15738044072276863,0.1721937524882881
indep_ou,9101,var_x,0.4990917897307303,0.2815107861526427,0.21758100357808763
indep_ou,9101,acf_x_lag1,0.9897901199629305,0.9834772520905932,0.006312867872337313
indep_ou,9101,mean_y,-0.010855333606929595,-0.14989572893381437,0.13904039532688478
indep_ou,9101,var_y,0.12213912800596408,0.11308890739410697,0.009050220611857104
indep_ou,9101,cov_xy,0.01673177311796906,0.032641260372645045,0.015909487254675985
indep_ou,9101,acf_y_lag1,0.97960705957553,0.9762324934010951,0.0033745661744348787
indep_ou,9101,crosscorr_lag1,0.06787461238053911,0.181766936639284,0.11389232425874489
correlated_ou,9101,mean_x,-0.004251410056203427,0.28323998235473713,0.28749139241094057
correlated_ou,9101,var_x,0.5134937721112751,0.33299997007652943,0.1804938020347457
correlated_ou,9101,acf_x_lag1,0.9900194515179076,0.9860896472093429,0.0039298043085647105
correlated_ou,9101,mean_y,0.016781205951098048,0.11858726705289203,0.101806061101794
correlated_ou,9101,var_y,0.20059961686473368,0.12110929845879394,0.07949031840593974
correlated_ou,9101,cov_xy,-0.1849245437736407,-0.08000937662700525,0.10491516714663546
correlated_ou,9101,acf_y_lag1,0.9838694902411398,0.9723800048233971,0.01148948541774264
correlated_ou,9101,crosscorr_lag1,-0.5668216723669962,-0.38516237230603945,0.18165930006095676
rotational_ou,9101,mean_x,0.01070201265092762,0.028472824123554227,0.01777081147262661
rotational_ou,9101,var_x,0.5115958600435744,0.34527862007274707,0.1663172399708273
rotational_ou,9101,acf_x_lag1,0.9897434767648162,0.9843586955984909,0.0053847811663253475
rotational_ou,9101,mean_y,0.013384493932994464,-0.11962692305042803,0.1330114169834225
rotational_ou,9101,var_y,0.5125010122737558,0.4987205177078114,0.013780494565944379
rotational_ou,9101,cov_xy,-0.022282109194336635,-0.009371668959649268,0.012910440234687367
rotational_ou,9101,acf_y_lag1,0.9897920108563969,0.99037358509077,0.0005815742343731056
rotational_ou,9101,crosscorr_lag1,-0.02413203936269595,0.003976604351838981,0.02810864371453493
double_well_transverse,9101,mean_x,-0.2585753993250025,-0.7934334304831518,0.5348580311581493
double_well_transverse,9101,var_x,0.6707000820979663,0.17434993416837644,0.49635014792958987
double_well_transverse,9101,acf_x_lag1,0.9955717494347517,0.9862935032110488,0.00927824622370288
double_well_transverse,9101,mean_y,-0.11437886772099681,-0.6526085586930875,0.5382296909720907
double_well_transverse,9101,var_y,0.34112849990161115,0.19477323058899323,0.1463552693126179
double_well_transverse,9101,cov_xy,0.174944264104776,0.024609280225333686,0.15033498387944233
double_well_transverse,9101,acf_y_lag1,0.99252203381152,0.986267581796163,0.006254452015357015
double_well_transverse,9101,crosscorr_lag1,0.36916948345305883,0.137223618778411,0.23194586467464784
gradient_potential,9101,mean_x,-0.34676344570269746,-0.9440075467585042,0.5972441010558067
gradient_potential,9101,var_x,0.7075750081879255,0.13669435144488004,0.5708806567430454
gradient_potential,9101,acf_x_lag1,0.995749931933893,0.982425838658551,0.013324093275342008
gradient_potential,9101,mean_y,0.009002048034477073,-0.20108049491176574,0.21008254294624282
gradient_potential,9101,var_y,0.17962316849357024,0.14145678525333646,0.038166383240233775
gradient_potential,9101,cov_xy,0.00011990801257951671,0.017643931008568474,0.017524022995988958
gradient_potential,9101,acf_y_lag1,0.9859950196375578,0.9811061610059973,0.004888858631560411
gradient_potential,9101,crosscorr_lag1,-3.789109592833349e-05,0.12584611825377123,0.12588400934969957
nongradient_circulation,9101,mean_x,-0.1948659795431503,-0.7414781241604541,0.5466121446173038
nongradient_circulation,9101,var_x,0.753739220722924,0.21145623540755273,0.5422829853153712
nongradient_circulation,9101,acf_x_lag1,0.995754219016239,0.9880025400376723,0.007751678978566656
nongradient_circulation,9101,mean_y,-0.03416349856017124,-0.17066772583243672,0.13650422727226547
nongradient_circulation,9101,var_y,0.1900692192542129,0.1499623625018826,0.040106856752330305
nongradient_circulation,9101,cov_xy,0.0036845476206206077,-0.018526510878327636,0.022211058498948243
nongradient_circulation,9101,acf_y_lag1,0.9866592541304746,0.9844314858259415,0.0022277683045330843
nongradient_circulation,9101,crosscorr_lag1,0.016182882048629877,-0.09368573991683325,0.10986862196546313
heston_logsv,9101,mean_x,0.09863852671415799,0.17294897184370056,0.07431044512954257
heston_logsv,9101,var_x,0.11478412325074012,0.022779926924658297,0.09200419632608182
heston_logsv,9101,acf_x_lag1,0.9988969292809987,0.996909807272338,0.001987122008660691
heston_logsv,9101,mean_y,0.04073800536212157,0.04093023750821655,0.00019223214609498385
heston_logsv,9101,var_y,0.0008191659234171433,0.0003514612069362087,0.0004677047164809346
heston_logsv,9101,cov_xy,-0.0022632044723401865,-0.0006991208877398534,0.001564083584600333
heston_logsv,9101,acf_y_lag1,0.9909061757165712,0.9735447294608884,0.01736144625568281
heston_logsv,9101,crosscorr_lag1,-0.2303480139810981,-0.24020946891953024,0.00986145493843213
indep_ou,9102,mean_x,0.025278475849321805,-0.1681162007920026,0.1933946766413244
indep_ou,9102,var_x,0.5099350549153344,0.37562654694673103,0.13430850796860339
indep_ou,9102,acf_x_lag1,0.989975105487105,0.9872668477181676,0.00270825776893735
indep_ou,9102,mean_y,-0.0024645782471074676,0.23199638817517293,0.2344609664222804
indep_ou,9102,var_y,0.11414044249266192,0.062141740106378136,0.051998702386283784
indep_ou,9102,cov_xy,0.01307597040060594,0.009995145583834264,0.0030808248167716757
indep_ou,9102,acf_y_lag1,0.9784687739778934,0.9592496520107591,0.019219121967134378
indep_ou,9102,crosscorr_lag1,0.05402631177749157,0.061494488375134625,0.007468176597643053
correlated_ou,9102,mean_x,-0.020582300064827464,0.026942781381631392,0.04752508144645885
correlated_ou,9102,var_x,0.5190844359707764,0.43737670505672016,0.0817077309140562
correlated_ou,9102,acf_x_lag1,0.9901262083026791,0.9881614372954919,0.0019647710071871716
correlated_ou,9102,mean_y,0.014509765004437165,0.3027997898138574,0.28829002480942023
correlated_ou,9102,var_y,0.19885390697056354,0.12256793587020974,0.0762859711003538
correlated_ou,9102,cov_xy,-0.19569941753347692,-0.16167830063312297,0.03402111690035395
correlated_ou,9102,acf_y_lag1,0.9837794510258632,0.975898789715011,0.007880661310852188
correlated_ou,9102,crosscorr_lag1,-0.6000617696857915,-0.6879941355379159,0.08793236585212438
diag_multiplicative,9101,mean_x,0.012912675282279344,0.18813815521353713,0.17522547993125778
diag_multiplicative,9101,var_x,0.2766105896281718,0.18469786584617992,0.09191272378199189
diag_multiplicative,9101,acf_x_lag1,0.9897815550172657,0.9826283436159899,0.007153211401275783
diag_multiplicative,9101,mean_y,-0.01901855312941271,0.28806665821539623,0.30708521134480893
diag_multiplicative,9101,var_y,0.2197807866305039,0.16202145675238203,0.05775932987812188
diag_multiplicative,9101,cov_xy,0.014949588875603553,0.03708060733581097,0.022131018460207416
diag_multiplicative,9101,acf_y_lag1,0.9892539635626737,0.9821311936563593,0.007122769906314441
diag_multiplicative,9101,crosscorr_lag1,0.061143646778989334,0.2144515231313025,0.15330787635231316
coupled_ou,9102,mean_x,0.032027403163212835,-0.19496636819084634,0.22699377135405918
